merger,metric,n_pairs,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r
arithmetic,task_vector_cosine_similarity,190,-0.024202483652369378,0.7403005896953121,-0.16693303940479473,0.021334853927210747,0.024202483652369378,0.16693303940479473
arithmetic,task_vector_l2_distance,190,-0.11475786439613737,0.11488697632311422,-0.02715252354271368,0.7099892787658109,0.11475786439613737,0.02715252354271368
arithmetic,task_vector_dot_product,190,-0.06898324359834779,0.3442910064019413,-0.07397638949030517,0.31041298871986944,0.06898324359834779,0.07397638949030517
arithmetic,weight_space_angle,190,0.02187154831635918,0.7645395888217015,0.16693303940479473,0.021334853927210747,0.02187154831635918,0.16693303940479473
arithmetic,task_vector_magnitude_ratio,190,-0.06623951494935781,0.3638669830853363,-0.035858406924816406,0.623305967199882,0.06623951494935781,0.035858406924816406
arithmetic,singular_value_overlap,190,-0.18395814840203714,0.011063858830418218,-0.21720181780804543,0.0026108992990368195,0.18395814840203714,0.21720181780804543
arithmetic,subspace_overlap,190,0.06280887877087471,0.38929426213678686,-0.0573064423711985,0.432249644391967,0.06280887877087471,0.0573064423711985
isotropic,task_vector_cosine_similarity,105,-0.2222128380167736,0.022708048330277904,-0.3298984034833091,0.0005887891704571824,0.2222128380167736,0.3298984034833091
isotropic,task_vector_l2_distance,105,-0.06125604019478225,0.5347593493174905,0.00944432925565001,0.9238229768326713,0.06125604019478225,0.00944432925565001
isotropic,task_vector_dot_product,105,-0.1917536018442911,0.050043267812479995,-0.11259589467136635,0.25279190286084485,0.1917536018442911,0.11259589467136635
isotropic,weight_space_angle,105,0.22200302170049618,0.022839753844685406,0.3298984034833091,0.0005887891704571824,0.22200302170049618,0.3298984034833091
isotropic,task_vector_magnitude_ratio,105,-0.0842128923327103,0.39304165757771126,-0.05594028612896537,0.5708502128857424,0.0842128923327103,0.05594028612896537
isotropic,singular_value_overlap,105,-0.23814315480267909,0.014431696360457113,-0.2752228903172299,0.004489763167601005,0.23814315480267909,0.2752228903172299
isotropic,subspace_overlap,105,-0.025098542392128845,0.7993835779525904,0.14403897988803646,0.1426623077282144,0.025098542392128845,0.14403897988803646
weight_avg,task_vector_cosine_similarity,190,-0.003988499037093278,0.9564451192298816,-0.16643441063391465,0.021731297871629085,0.003988499037093278,0.16643441063391465
weight_avg,task_vector_l2_distance,190,-0.11881987587521302,0.10251094747887457,-0.11829311498641895,0.10405382081362163,0.11881987587521302,0.11829311498641895
weight_avg,task_vector_dot_product,190,-0.012358597928034397,0.865612715087239,-0.12650736789618025,0.08198705298433547,0.012358597928034397,0.12650736789618025
weight_avg,weight_space_angle,190,0.0017119434839420267,0.9812978542508457,0.16643441063391465,0.021731297871629085,0.0017119434839420267,0.16643441063391465
weight_avg,task_vector_magnitude_ratio,190,0.00589243682226075,0.9356913859516311,-0.06017924392132164,0.4094922032458491,0.00589243682226075,0.06017924392132164
weight_avg,singular_value_overlap,190,-0.1361644285738513,0.061034465621438376,-0.11775599557357619,0.10564581930646223,0.1361644285738513,0.11775599557357619
weight_avg,subspace_overlap,190,-0.010780038212817304,0.8826455861082669,-0.17340996470233178,0.016726099656141025,0.010780038212817304,0.17340996470233178
tsv,task_vector_cosine_similarity,114,0.0717370186837987,0.4481645499365757,-0.06111257366193477,0.5183331993015892,0.0717370186837987,0.06111257366193477
tsv,task_vector_l2_distance,114,-0.20298461337279716,0.030311192588848148,-0.27392316883011686,0.0031870981312953207,0.20298461337279716,0.27392316883011686
tsv,task_vector_dot_product,114,0.03567928267144776,0.7062685686789203,-0.1875903687653146,0.045649092292280626,0.03567928267144776,0.1875903687653146
tsv,weight_space_angle,114,-0.07262579412244904,0.442546379563048,0.06111257366193477,0.5183331993015892,0.07262579412244904,0.06111257366193477
tsv,task_vector_magnitude_ratio,114,0.03626016586099965,0.7017108928252245,-0.12149207184949677,0.19786425773357724,0.03626016586099965,0.12149207184949677
tsv,singular_value_overlap,114,0.09273059009336573,0.3264464656364679,0.18251149227435656,0.051947189159593524,0.09273059009336573,0.18251149227435656
tsv,subspace_overlap,114,0.06588395268736334,0.4861452390303381,-0.055863591259796286,0.5549574587342425,0.06588395268736334,0.055863591259796286
